flight_prices,company_names,dep_city,arrival_city,transfer_stops,duration_of_flight,additional_info,booking_dates,travel_dates,Dep_Time,Arrival_Time
68,Ryanair,Warsaw,London,non-stop,2h 25m ,Standard,11/10/2022,16/10/2022,11:00,12:25
68,Ryanair,Warsaw,London,non-stop,2h 25m ,Standard,11/10/2022,17/10/2022,07:05,08:30
76,Wizz Air,Warsaw,London,non-stop,2h 35m ,Economy,11/10/2022,18/10/2022,17:35,19:10
90,LOT,Warsaw,London,non-stop,2h 30m ,Economy,11/10/2022,19/10/2022,20:15,21:45
89,British Airways,Warsaw,London,non-stop,2h 45m ,Basic Economy,11/10/2022,12/10/2022,08:25,10:10
91,LOT,Warsaw,London,non-stop,2h 50m ,Economy,11/10/2022,13/10/2022,15:30,17:20
91,LOT,Warsaw,London,non-stop,2h 50m ,Economy,11/10/2022,14/10/2022,07:35,09:25
101,British Airways,Warsaw,London,non-stop,2h 40m ,Basic Economy,11/10/2022,15/10/2022,18:15,19:55
165,British Airways,Warsaw,London,non-stop,2h 45m ,Basic Economy,11/10/2022,16/10/2022,11:50,13:35
100,"LOT, Ryanair ",Warsaw,London,1 stop,5h 10m ,Economy,11/10/2022,17/10/2022,16:35,20:45
102,"LOT, Wizz Air ",Warsaw,London,1 stop,5h 10m ,Economy,11/10/2022,18/10/2022,13:25,17:35
96,"LOT, Ryanair ",Warsaw,London,1 stop,5h 45m ,Economy,11/10/2022,19/10/2022,07:15,12:00
18,Ryanair,Warsaw,London,non-stop,2h 25m ,Standard,11/10/2022,12/10/2022,22:00,23:25
23,Ryanair,Warsaw,London,non-stop,2h 25m ,Standard,11/10/2022,13/10/2022,07:05,08:30
15,Ryanair,Warsaw,London,non-stop,2h 25m ,Standard,11/10/2022,14/10/2022,22:00,23:25
42,Wizz Air,Warsaw,London,non-stop,2h 35m ,Economy,11/10/2022,15/10/2022,06:05,07:40
48,Ryanair,Warsaw,London,non-stop,2h 25m ,Standard,11/10/2022,16/10/2022,09:35,11:00
68,British Airways,Warsaw,London,non-stop,2h 40m ,Basic Economy,11/10/2022,17/10/2022,18:35,20:15
76,Wizz Air,Warsaw,London,non-stop,2h 35m ,Economy,11/10/2022,18/10/2022,17:35,19:10
76,Wizz Air,Warsaw,London,non-stop,2h 35m ,Economy,11/10/2022,19/10/2022,12:25,14:00
77,LOT,Warsaw,London,non-stop,2h 50m ,Economy,11/10/2022,12/10/2022,15:30,17:20
77,LOT,Warsaw,London,non-stop,2h 50m ,Economy,11/10/2022,13/10/2022,07:35,09:25
70,British Airways,Warsaw,London,non-stop,2h 45m ,Basic Economy,11/10/2022,14/10/2022,11:50,13:35
53,Ryanair,Warsaw,London,1 stop,7h 15m ,Standard,11/10/2022,15/10/2022,14:55,21:10
78,"LOT, Wizz Air ",Warsaw,London,1 stop,5h 25m ,Economy,11/10/2022,16/10/2022,16:50,21:15
87,"LOT, Ryanair ",Warsaw,London,1 stop,7h 00m ,Economy,11/10/2022,17/10/2022,13:25,19:25
100,Ryanair,Warsaw,London,1 stop,6h 45m ,Standard,11/10/2022,18/10/2022,13:20,19:05
120,Ryanair,Warsaw,London,1 stop,6h 15m ,Standard,11/10/2022,19/10/2022,13:20,18:35
37,Ryanair,Warsaw,London,non-stop,2h 25m ,Standard,11/10/2022,12/10/2022,09:35,11:00
36,Ryanair,Warsaw,London,non-stop,2h 25m ,Standard,11/10/2022,13/10/2022,09:35,11:00
30,Ryanair,Warsaw,London,1 stop,10h 35m ,Standard,11/10/2022,14/10/2022,21:40,07:15
42,Wizz Air,Warsaw,London,non-stop,2h 35m ,Economy,11/10/2022,15/10/2022,06:05,07:40
66,Ryanair,Warsaw,London,non-stop,2h 25m ,Standard,11/10/2022,16/10/2022,11:40,13:05
76,Wizz Air,Warsaw,London,non-stop,2h 35m ,Economy,11/10/2022,17/10/2022,12:10,13:45
77,LOT,Warsaw,London,non-stop,2h 50m ,Economy,11/10/2022,18/10/2022,07:35,09:25
66,Ryanair,Warsaw,London,non-stop,2h 25m ,Standard,11/10/2022,19/10/2022,23:05,00:30
91,LOT,Warsaw,London,non-stop,2h 50m ,Economy,11/10/2022,12/10/2022,15:30,17:20
70,British Airways,Warsaw,London,non-stop,2h 45m ,Basic Economy,11/10/2022,13/10/2022,08:10,09:55
93,British Airways,Warsaw,London,non-stop,2h 45m ,Basic Economy,11/10/2022,14/10/2022,11:50,13:35
124,Wizz Air,Warsaw,London,non-stop,2h 35m ,Economy,11/10/2022,15/10/2022,17:35,19:10
100,"Ryanair, Wizz Air ",Warsaw,London,1 stop,5h 25m ,Standard,11/10/2022,16/10/2022,06:25,10:50
137,LOT,Warsaw,London,1 stop,5h 00m ,Economy,11/10/2022,17/10/2022,14:10,18:10
99,"LOT, Wizz Air UK ",Warsaw,London,1 stop,6h 50m ,Economy,11/10/2022,18/10/2022,10:35,16:25
188,British Airways,Warsaw,London,non-stop,2h 40m ,Basic Economy,11/10/2022,19/10/2022,18:15,19:55
139,"LOT, Wizz Air ",Warsaw,London,1 stop,5h 10m ,Economy,11/10/2022,12/10/2022,13:25,17:35
14,Ryanair,Warsaw,London,non-stop,2h 25m ,Standard,11/10/2022,13/10/2022,20:05,21:30
13,Ryanair,Warsaw,London,non-stop,2h 25m ,Standard,11/10/2022,14/10/2022,20:05,21:30
19,Ryanair,Warsaw,London,non-stop,2h 25m ,Standard,11/10/2022,15/10/2022,16:55,18:20
26,Ryanair,Warsaw,London,non-stop,2h 25m ,Standard,11/10/2022,16/10/2022,10:40,12:05
42,Wizz Air,Warsaw,London,non-stop,2h 35m ,Economy,11/10/2022,17/10/2022,06:05,07:40
56,Wizz Air,Warsaw,London,non-stop,2h 35m ,Economy,11/10/2022,18/10/2022,17:35,19:10
56,Wizz Air,Warsaw,London,non-stop,2h 35m ,Economy,11/10/2022,19/10/2022,12:10,13:45
77,LOT,Warsaw,London,non-stop,2h 50m ,Economy,11/10/2022,12/10/2022,15:30,17:20
77,LOT,Warsaw,London,non-stop,2h 50m ,Economy,11/10/2022,13/10/2022,07:35,09:25
65,"Ryanair, Wizz Air ",Warsaw,London,1 stop,5h 40m ,Standard,11/10/2022,14/10/2022,16:35,21:15
83,British Airways,Warsaw,London,non-stop,2h 40m ,Basic Economy,11/10/2022,15/10/2022,18:25,20:05
77,"Wizz Air, Ryanair ",Warsaw,London,1 stop,6h 10m ,Economy,11/10/2022,16/10/2022,12:50,18:00
80,"Wizz Air, Ryanair UK ",Warsaw,London,1 stop,6h 10m ,Economy,11/10/2022,17/10/2022,12:50,18:00
100,Ryanair,Warsaw,London,1 stop,5h 30m ,Standard,11/10/2022,18/10/2022,13:30,18:00
102,Ryanair,Warsaw,London,1 stop,5h 55m ,Standard,11/10/2022,19/10/2022,12:15,17:10
107,"Ryanair, Ryanair UK ",Warsaw,London,1 stop,5h 30m ,Standard,11/10/2022,12/10/2022,13:30,18:00
13,Ryanair,Warsaw,London,non-stop,2h 25m ,Standard,11/10/2022,13/10/2022,15:50,17:15
12,Ryanair,Warsaw,London,non-stop,2h 25m ,Standard,11/10/2022,14/10/2022,15:50,17:15
12,Ryanair,Warsaw,London,non-stop,2h 25m ,Standard,11/10/2022,15/10/2022,07:05,08:30
13,Ryanair,Warsaw,London,non-stop,2h 25m ,Standard,11/10/2022,16/10/2022,18:55,20:20
20,Wizz Air,Warsaw,London,non-stop,2h 35m ,Economy,11/10/2022,17/10/2022,06:05,07:40
36,Wizz Air,Warsaw,London,non-stop,2h 35m ,Economy,11/10/2022,18/10/2022,17:35,19:10
42,Wizz Air,Warsaw,London,non-stop,2h 35m ,Economy,11/10/2022,19/10/2022,12:25,14:00
45,British Airways,Warsaw,London,non-stop,2h 45m ,Basic Economy,11/10/2022,12/10/2022,08:40,10:25
65,British Airways,Warsaw,London,non-stop,2h 45m ,Basic Economy,11/10/2022,13/10/2022,11:50,13:35
25,Ryanair,Warsaw,London,1 stop,5h 30m ,Standard,11/10/2022,14/10/2022,19:10,23:40
77,LOT,Warsaw,London,non-stop,2h 50m ,Economy,11/10/2022,15/10/2022,15:30,17:20
77,LOT,Warsaw,London,non-stop,2h 50m ,Economy,11/10/2022,16/10/2022,07:35,09:25
35,"Wizz Air, Ryanair ",Warsaw,London,1 stop,6h 10m ,Economy,11/10/2022,17/10/2022,18:20,23:30
93,British Airways,Warsaw,London,non-stop,2h 40m ,Basic Economy,11/10/2022,18/10/2022,18:20,20:00
40,"Wizz Air, Ryanair ",Warsaw,London,1 stop,7h 25m ,Economy,11/10/2022,19/10/2022,13:00,19:25
79,"LOT, Ryanair ",Warsaw,London,1 stop,4h 10m ,Economy,11/10/2022,12/10/2022,16:50,20:00
14,Ryanair,Warsaw,London,non-stop,2h 25m ,Standard,11/10/2022,13/10/2022,07:05,08:30
12,Ryanair,Warsaw,London,non-stop,2h 25m ,Standard,11/10/2022,14/10/2022,07:05,08:30
15,Ryanair,Warsaw,London,non-stop,2h 25m ,Standard,11/10/2022,15/10/2022,13:00,14:25
18,Wizz Air,Warsaw,London,non-stop,2h 35m ,Economy,11/10/2022,16/10/2022,06:05,07:40
12,Ryanair,Warsaw,London,non-stop,2h 25m ,Standard,11/10/2022,17/10/2022,21:55,23:20
32,Wizz Air,Warsaw,London,non-stop,2h 35m ,Economy,11/10/2022,18/10/2022,12:10,13:45
36,Wizz Air,Warsaw,London,non-stop,2h 35m ,Economy,11/10/2022,19/10/2022,17:35,19:10
64,British Airways,Warsaw,London,non-stop,2h 45m ,Basic Economy,11/10/2022,12/10/2022,11:50,13:35
66,LOT,Warsaw,London,non-stop,2h 50m ,Economy,11/10/2022,13/10/2022,15:30,17:20
66,LOT,Warsaw,London,non-stop,2h 50m ,Economy,11/10/2022,14/10/2022,07:35,09:25
34,"Ryanair, Wizz Air ",Warsaw,London,1 stop,5h 30m ,Standard,11/10/2022,15/10/2022,06:20,10:50
72,"LOT, Ryanair ",Warsaw,London,1 stop,4h 35m ,Economy,11/10/2022,16/10/2022,07:10,10:45
83,"LOT, Ryanair ",Warsaw,London,1 stop,4h 45m ,Economy,11/10/2022,17/10/2022,16:35,20:20
89,British Airways,Warsaw,London,non-stop,2h 40m ,Basic Economy,11/10/2022,18/10/2022,18:10,19:50
76,Ryanair,Warsaw,London,1 stop,5h 40m ,Standard,11/10/2022,19/10/2022,17:30,22:10
107,LOT,Warsaw,London,1 stop,5h 00m ,Economy,11/10/2022,12/10/2022,14:10,18:10
293,LOT,Warsaw,Barcelona,non-stop,3h 15m ,Economy,11/10/2022,13/10/2022,09:05,12:20
80,"Ryanair, Vueling ",Warsaw,Barcelona,1 stop,12h 00m ,Standard,11/10/2022,14/10/2022,13:00,01:00
293,Wizz Air,Warsaw,Barcelona,non-stop,3h 05m ,Economy,11/10/2022,15/10/2022,15:50,18:55
218,Lufthansa,Warsaw,Barcelona,1 stop,4h 35m ,Economy Light,11/10/2022,16/10/2022,16:55,21:30
266,SWISS,Warsaw,Barcelona,1 stop,4h 25m ,Economy,11/10/2022,17/10/2022,09:40,14:05
184,"Wizz Air, Air Europa ",Warsaw,Barcelona,1 stop,5h 35m ,Economy,11/10/2022,18/10/2022,15:35,21:10
163,"Wizz Air, Vueling ",Warsaw,Barcelona,1 stop,6h 20m ,Economy,11/10/2022,19/10/2022,15:35,21:55
163,"Wizz Air, Ryanair ",Warsaw,Barcelona,1 stop,6h 25m ,Economy,11/10/2022,12/10/2022,15:35,22:00
169,"Ryanair, Eurowings ",Warsaw,Barcelona,1 stop,6h 20m ,Standard,11/10/2022,13/10/2022,12:30,18:50
256,Lufthansa,Warsaw,Barcelona,1 stop,5h 00m ,Economy Light,11/10/2022,14/10/2022,06:00,11:00
101,"Ryanair, easyJet ",Warsaw,Barcelona,1 stop,8h 55m ,Standard,11/10/2022,15/10/2022,07:05,16:00
159,"Wizz Air, Vueling ",Warsaw,Barcelona,1 stop,7h 30m ,Economy,11/10/2022,16/10/2022,15:35,23:05
241,"LOT, SWISS ",Warsaw,Barcelona,1 stop,6h 25m ,Economy,11/10/2022,17/10/2022,07:40,14:05
121,"Wizz Air, Ryanair ",Warsaw,Barcelona,1 stop,8h 30m ,Economy,11/10/2022,18/10/2022,12:10,20:40
217,Ryanair,Warsaw,Barcelona,1 stop,6h 25m ,Standard,11/10/2022,19/10/2022,13:00,19:25
128,Ryanair,Warsaw,Barcelona,1 stop,8h 50m ,Standard,11/10/2022,12/10/2022,07:05,15:55
158,Ryanair,Warsaw,Barcelona,non-stop,3h 05m ,Standard,11/10/2022,13/10/2022,17:25,20:30
54,Ryanair,Warsaw,Barcelona,1 stop,10h 05m ,Standard,11/10/2022,14/10/2022,10:05,20:10
284,Wizz Air,Warsaw,Barcelona,non-stop,3h 20m ,Economy,11/10/2022,15/10/2022,15:45,19:05
164,"Wizz Air, Ryanair ",Warsaw,Barcelona,1 stop,7h 00m ,Economy,11/10/2022,16/10/2022,12:10,19:10
90,"Ryanair, Vueling ",Warsaw,Barcelona,2 stops,9h 05m ,Standard,11/10/2022,17/10/2022,10:25,19:30
271,Lufthansa,Warsaw,Barcelona,1 stop,5h 00m ,Economy Light,11/10/2022,18/10/2022,06:00,11:00
249,"Wizz Air, Ryanair ",Warsaw,Barcelona,1 stop,5h 29m ,Economy,11/10/2022,19/10/2022,18:30,23:59
386,LOT,Warsaw,Barcelona,non-stop,3h 15m ,Economy,11/10/2022,12/10/2022,09:05,12:20
178,"Wizz Air, easyJet ",Warsaw,Barcelona,1 stop,6h 05m ,Economy,11/10/2022,13/10/2022,05:55,12:00
198,"LOT, Wizz Air ",Warsaw,Barcelona,1 stop,7h 35m ,Economy,11/10/2022,14/10/2022,13:25,21:00
247,Ryanair,Warsaw,Barcelona,1 stop,6h 40m ,Standard,11/10/2022,15/10/2022,11:45,18:25
165,"Ryanair, Vueling ",Warsaw,Barcelona,1 stop,8h 50m ,Standard,11/10/2022,16/10/2022,10:55,19:45
325,"LOT, SWISS ",Warsaw,Barcelona,1 stop,5h 50m ,Economy,11/10/2022,17/10/2022,17:00,22:50
120,"Ryanair, easyJet ",Warsaw,Barcelona,1 stop,9h 25m ,Standard,11/10/2022,18/10/2022,11:40,21:05
258,"LOT, Wizz Air ",Warsaw,Barcelona,1 stop,6h 50m ,Economy,11/10/2022,19/10/2022,13:30,20:20
118,Ryanair,Warsaw,Barcelona,non-stop,3h 05m ,Standard,11/10/2022,12/10/2022,06:55,10:00
74,"Ryanair, BlaBlaBus ",Warsaw,Barcelona,2 stops,17h 45m ,Standard,11/10/2022,13/10/2022,06:00,23:45
236,Wizz Air,Warsaw,Barcelona,non-stop,3h 05m ,Economy,11/10/2022,14/10/2022,15:50,18:55
196,"Wizz Air, Ryanair ",Warsaw,Barcelona,1 stop,6h 14m ,Economy,11/10/2022,15/10/2022,17:45,23:59
386,LOT,Warsaw,Barcelona,non-stop,3h 15m ,Economy,11/10/2022,16/10/2022,09:05,12:20
248,Ryanair,Warsaw,Barcelona,1 stop,5h 10m ,Standard,11/10/2022,17/10/2022,09:20,14:30
269,SWISS,Warsaw,Barcelona,1 stop,6h 25m ,Economy,11/10/2022,18/10/2022,07:40,14:05
171,Ryanair,Warsaw,Barcelona,1 stop,7h 49m ,Standard,11/10/2022,19/10/2022,16:10,23:59
151,"Wizz Air, Ryanair ",Warsaw,Barcelona,1 stop,8h 30m ,Economy,11/10/2022,12/10/2022,12:10,20:40
300,"LOT, SWISS ",Warsaw,Barcelona,1 stop,6h 25m ,Economy,11/10/2022,13/10/2022,07:40,14:05
176,Ryanair,Warsaw,Barcelona,1 stop,8h 10m ,Standard,11/10/2022,14/10/2022,11:00,19:10
156,Ryanair,Warsaw,Barcelona,1 stop,8h 50m ,Standard,11/10/2022,15/10/2022,07:05,15:55
284,"Wizz Air, Ryanair ",Warsaw,Barcelona,1 stop,6h 05m ,Economy,11/10/2022,16/10/2022,17:10,23:15
414,SWISS,Warsaw,Barcelona,1 stop,4h 25m ,Economy,11/10/2022,17/10/2022,09:40,14:05
212,"Ryanair, Vueling ",Warsaw,Barcelona,1 stop,8h 15m ,Standard,11/10/2022,18/10/2022,08:25,16:40
226,"Ryanair, Vueling ",Warsaw,Barcelona,1 stop,8h 00m ,Standard,11/10/2022,19/10/2022,15:35,23:35
85,Ryanair,Warsaw,Barcelona,non-stop,3h 05m ,Standard,11/10/2022,12/10/2022,19:50,22:55
45,Ryanair,Warsaw,Barcelona,2 stops,21h 10m ,Standard,11/10/2022,13/10/2022,22:00,19:10
58,Ryanair,Warsaw,Barcelona,1 stop,6h 00m ,Standard,11/10/2022,14/10/2022,10:35,16:35
169,"Wizz Air, Ryanair ",Warsaw,Barcelona,1 stop,5h 14m ,Economy,11/10/2022,15/10/2022,18:45,23:59
158,"LOT, Wizz Air ",Warsaw,Barcelona,1 stop,5h 30m ,Economy,11/10/2022,16/10/2022,10:30,16:00
169,Ryanair,Warsaw,Barcelona,1 stop,6h 20m ,Standard,11/10/2022,17/10/2022,09:35,15:55
109,"Ryanair, Vueling ",Warsaw,Barcelona,1 stop,8h 40m ,Standard,11/10/2022,18/10/2022,14:55,23:35
219,Ryanair,Warsaw,Barcelona,1 stop,5h 30m ,Standard,11/10/2022,19/10/2022,09:05,14:35
272,Austrian Airlines,Warsaw,Barcelona,1 stop,4h 50m ,Economy Light,11/10/2022,12/10/2022,15:00,19:50
322,LOT,Warsaw,Barcelona,1 stop,4h 20m ,Economy,11/10/2022,13/10/2022,17:10,21:30
137,"Wizz Air, easyJet ",Warsaw,Barcelona,1 stop,8h 40m ,Economy,11/10/2022,14/10/2022,12:25,21:05
329,"LOT, Lufthansa ",Warsaw,Barcelona,1 stop,4h 20m ,Economy,11/10/2022,15/10/2022,17:10,21:30
132,"LOT, Wizz Air ",Warsaw,Barcelona,1 stop,8h 55m ,Economy,11/10/2022,16/10/2022,07:05,16:00
142,Ryanair,Warsaw,Barcelona,1 stop,8h 50m ,Standard,11/10/2022,17/10/2022,07:05,15:55
279,"LOT, Ryanair ",Warsaw,Barcelona,1 stop,5h 10m ,Economy,11/10/2022,18/10/2022,14:50,20:00
122,"Wizz Air, Vueling ",Warsaw,Barcelona,1 stop,10h 05m ,Economy,11/10/2022,19/10/2022,06:05,16:10
257,Wizz Air,Warsaw,Barcelona,non-stop,3h 10m ,Economy,11/10/2022,12/10/2022,16:30,19:40
104,"Ryanair, Vueling ",Warsaw,Barcelona,1 stop,11h 25m ,Standard,11/10/2022,13/10/2022,20:20,07:45
156,Ryanair,Warsaw,Barcelona,1 stop,6h 20m ,Standard,11/10/2022,14/10/2022,09:35,15:55
242,"Wizz Air, Air Europa ",Warsaw,Barcelona,1 stop,5h 30m ,Economy,11/10/2022,15/10/2022,15:40,21:10
386,LOT,Warsaw,Barcelona,non-stop,3h 15m ,Economy,11/10/2022,16/10/2022,09:05,12:20
226,"Wizz Air, Vueling ",Warsaw,Barcelona,1 stop,6h 15m ,Economy,11/10/2022,17/10/2022,15:40,21:55
135,Ryanair,Warsaw,Barcelona,2 stops,8h 45m ,Standard,11/10/2022,18/10/2022,06:25,15:10
240,"Wizz Air, Ryanair ",Warsaw,Barcelona,1 stop,6h 45m ,Economy,11/10/2022,19/10/2022,15:40,22:25
193,Ryanair,Warsaw,Barcelona,1 stop,8h 00m ,Standard,11/10/2022,12/10/2022,11:40,19:40
192,"LOT, Wizz Air ",Warsaw,Barcelona,1 stop,8h 10m ,Economy,11/10/2022,13/10/2022,13:15,21:25
274,"LOT, Wizz Air ",Warsaw,Barcelona,1 stop,6h 10m ,Economy,11/10/2022,14/10/2022,14:50,21:00
297,"Wizz Air, Ryanair ",Warsaw,Barcelona,1 stop,5h 55m ,Economy,11/10/2022,15/10/2022,17:45,23:40
143,"Wizz Air, easyJet ",Warsaw,Barcelona,1 stop,9h 55m ,Economy,11/10/2022,16/10/2022,06:05,16:00
420,LOT,Warsaw,Barcelona,1 stop,4h 20m ,Economy,11/10/2022,17/10/2022,17:10,21:30
114,Ryanair,Warsaw,Barcelona,1 stop,11h 05m ,Standard,11/10/2022,18/10/2022,20:20,07:25
91,Ryanair,Warsaw,Barcelona,non-stop,3h 05m ,Standard,11/10/2022,19/10/2022,06:40,09:45
38,Ryanair,Warsaw,Barcelona,2 stops,17h 40m ,Standard,11/10/2022,12/10/2022,20:25,14:05
155,Wizz Air,Warsaw,Barcelona,non-stop,3h 05m ,Economy,11/10/2022,13/10/2022,15:50,18:55
125,"Wizz Air, Ryanair ",Warsaw,Barcelona,1 stop,5h 10m ,Economy,11/10/2022,14/10/2022,17:45,22:55
85,"Wizz Air, Ryanair ",Warsaw,Barcelona,1 stop,6h 49m ,Economy,11/10/2022,15/10/2022,17:10,23:59
91,Ryanair,Warsaw,Barcelona,1 stop,6h 50m ,Standard,11/10/2022,16/10/2022,16:55,23:45
206,SWISS,Warsaw,Barcelona,1 stop,4h 40m ,Economy,11/10/2022,17/10/2022,14:35,19:15
153,"LOT, Ryanair ",Warsaw,Barcelona,1 stop,5h 55m ,Economy,11/10/2022,18/10/2022,16:50,22:45
147,"Wizz Air, Ryanair ",Warsaw,Barcelona,1 stop,6h 20m ,Economy,11/10/2022,19/10/2022,12:10,18:30
145,"Wizz Air, Vueling ",Warsaw,Barcelona,1 stop,6h 30m ,Economy,11/10/2022,12/10/2022,05:45,12:15
110,Ryanair,Warsaw,Barcelona,1 stop,9h 05m ,Standard,11/10/2022,13/10/2022,10:40,19:45
115,"Wizz Air, Ryanair ",Warsaw,Barcelona,1 stop,8h 40m ,Economy,11/10/2022,14/10/2022,05:45,14:25
179,"Ryanair, Iberia ",Warsaw,Barcelona,1 stop,6h 20m ,Standard,11/10/2022,15/10/2022,11:30,17:50
129,"Ryanair, Vueling ",Warsaw,Barcelona,2 stops,8h 55m ,Standard,11/10/2022,16/10/2022,10:40,19:35
158,"Ryanair, Vueling ",Warsaw,Barcelona,1 stop,8h 15m ,Standard,11/10/2022,17/10/2022,11:30,19:45
90,"Ryanair, Vueling ",Warsaw,Barcelona,1 stop,10h 50m ,Standard,11/10/2022,18/10/2022,12:15,23:05
95,Ryanair,Warsaw,Barcelona,non-stop,3h 05m ,Standard,11/10/2022,19/10/2022,20:35,23:40
38,Ryanair,Warsaw,Barcelona,2 stops,8h 40m ,Standard,11/10/2022,12/10/2022,15:50,00:30
49,Ryanair,Warsaw,Barcelona,1 stop,5h 10m ,Standard,11/10/2022,13/10/2022,16:50,22:00
48,"Wizz Air, Ryanair ",Warsaw,Barcelona,1 stop,6h 15m ,Economy,11/10/2022,14/10/2022,18:45,01:00
48,Ryanair,Warsaw,Barcelona,1 stop,6h 40m ,Standard,11/10/2022,15/10/2022,14:00,20:40
60,"Wizz Air, Ryanair ",Warsaw,Barcelona,1 stop,6h 14m ,Economy,11/10/2022,16/10/2022,17:45,23:59
62,"Ryanair, Vueling ",Warsaw,Barcelona,1 stop,6h 15m ,Standard,11/10/2022,17/10/2022,16:50,23:05
49,Ryanair,Warsaw,Barcelona,1 stop,7h 40m ,Standard,11/10/2022,18/10/2022,16:50,00:30
65,Ryanair,Warsaw,Barcelona,1 stop,7h 55m ,Standard,11/10/2022,19/10/2022,15:50,23:45
177,SWISS,Warsaw,Barcelona,1 stop,4h 40m ,Economy,11/10/2022,12/10/2022,14:35,19:15
112,Ryanair,Warsaw,Barcelona,1 stop,6h 50m ,Standard,11/10/2022,13/10/2022,09:25,16:15
77,"Wizz Air, easyJet ",Warsaw,Barcelona,1 stop,8h 40m ,Economy,11/10/2022,14/10/2022,12:25,21:05
182,Lufthansa,Warsaw,Barcelona,1 stop,4h 30m ,Economy Light,11/10/2022,15/10/2022,17:00,21:30
80,Ryanair,Warsaw,Barcelona,1 stop,8h 50m ,Standard,11/10/2022,16/10/2022,07:05,15:55
